,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,tweet_location,user_timezone
9430,569940462678749186,negative,0.7128,Late Flight,0.7128,US Airways,EmmaJLogue,0,"@USAirways what's the deal with flight 5268 from DCA to PHL? We boarded on time, left the gate a few mins Late Flight and are now sat on Tarmac?",2015-02-23 19:22:49,,Eastern Time (US & Canada)
14588,569595309279440896,neutral,0.6767,,0.0,American,RafaANieves,0,"@AmericanAir if business class if full but 1st class empty, do you guys upgrade EXP members to 1st?",2015-02-22 20:31:18,,Quito
3972,567897640035160064,negative,1.0,Bad Flight,0.6809,United,agrace001,0,@united my son is a passenger on flight 3710 from Chicago to Toronto. The plane came within feet of colliding  another plane and is stopped.,2015-02-18 04:05:23,A Texan in Toronto,
7893,569083132353204224,neutral,1.0,,,Delta,JetBlueNews,0,@JetBlue Airways Lowered to Strong Sell at Vetr Inc. (JBLU) - Mideast Time http://t.co/yMMH9k4CBr,2015-02-21 10:36:06,USA,Sydney
790,570079868253298688,negative,1.0,Customer Service Issue,1.0,United,fortytoo,0,"@united tried calling too, but w/25 min phn wait means we'd miss options anyway",2015-02-24 04:36:46,"WX report for 41 Mile, Hwy 50",Pacific Time (US & Canada)
4354,570292914686955520,neutral,0.3511,,0.0,Southwest,Marc_Hoffman,0,@SouthwestAir Do you promise to not unfollow me? 😉,2015-02-24 18:43:21,"Denver, CO",Mountain Time (US & Canada)
10404,569328931905642496,negative,0.6596,Lost Luggage,0.6596,US Airways,HassettHelen,0,@USAirways you can send my luggage to my house👋,2015-02-22 02:52:49,,
11254,568282478076669952,negative,1.0,Customer Service Issue,0.6739,US Airways,Gregg_Silver,0,"@USAirways no. Other than being on my credit card statement, I have not received anything from you and so I have no way to look it up myself",2015-02-19 05:34:35,,Quito
2240,569300959911768064,negative,1.0,Customer Service Issue,0.63,United,seansegal,0,@united 6 minutes to boarding at b12 in Ord. No sign of gate agent. A little help?,2015-02-22 01:01:40,,Eastern Time (US & Canada)
8529,568189029478481920,neutral,0.3608,,0.0,Delta,djh11375,0,"@JetBlue Left my coat on flight 453 this morning in overhead bin.  Reported seat 12A, but I was 11A.  Thx.  Ticket 2792125083854",2015-02-18 23:23:15,"Forest Hills, NY",Eastern Time (US & Canada)
480,567787873778278400,positive,0.6779999999999999,,0.0,Virgin America,BrandonS002,0,".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience",2015-02-17 20:49:12,New York City,Eastern Time (US & Canada)
4764,569862767236255744,negative,1.0,Bad Flight,1.0,Southwest,gdm43pga,0,@SouthwestAir how about fixing the wifi!  3rd flight where it's not working. 800 series plane so not like it's an old plane.,2015-02-23 14:14:05,"Old Hickory, TN",Central Time (US & Canada)
11576,567919531068391425,neutral,0.6737,,,US Airways,sethdpowers,0,@USAirways thank you,2015-02-18 05:32:22,,
6129,568198843034169344,neutral,0.6651,,0.0,Southwest,Armywives101,0,@SouthwestAir Yay! And are dependents with ID (wife children) eligible to use this discount too? How do you use it over the phone/inperson?,2015-02-19 00:02:15,Fayetteville North Carolina,Eastern Time (US & Canada)
14416,569619246520479745,negative,1.0,Customer Service Issue,0.7091,American,KaelaMari,0,@AmericanAir called executive platinum desk and got a TWO HOUR call back time... 2.5 hrs Late Flightr still no call and still stuck in Chicago,2015-02-22 22:06:26,Corona Del Mar,Pacific Time (US & Canada)
9529,569890311608111105,negative,1.0,Customer Service Issue,1.0,US Airways,acnewsguy,0,@USAirways @acnewsguy can you give me a # for US Air in philly to talk to a real person? Acarl4@hotmail.com,2015-02-23 16:03:32,"New Haven, CT",Mountain Time (US & Canada)
2228,569306599577112577,positive,1.0,,,United,Pseudonymous,0,@united thank you! Excited to be working with you guys!,2015-02-22 01:24:05,,Pacific Time (US & Canada)
1093,569929187101966336,positive,0.6809,,,United,CaroDavis2012,0,@united that's brilliant Thankyou so much. Is it classed as part of carryon?,2015-02-23 18:38:01,Scotland,
11657,567846359631564800,negative,1.0,Late Flight,0.6767,US Airways,Praise_A_Lord,0,@USAirways freaking out about the fact you are fixing the engine from Charlotte to Orlando. #longday,2015-02-18 00:41:36,Manc.,
10574,569169274109100032,negative,1.0,Customer Service Issue,0.6847,US Airways,observepeople,0,@USAirways @SeanVRose Sean - keep in mind if you call...plan on being on hold for 3+ hours,2015-02-21 16:18:24,,Eastern Time (US & Canada)
2380,569237356622024704,negative,1.0,Can't Tell,1.0,United,AviNewYork,0,@united I hope not to see the same issue on my return flight tomorrow,2015-02-21 20:48:56,,Eastern Time (US & Canada)
8756,567872077899763712,negative,1.0,Customer Service Issue,0.6682,Delta,mellamommy,0,@JetBlue my SIL bought tix for us to NYC. We were told at the gate that her cc was declined. Supervisor accused us of illegal activity.,2015-02-18 02:23:48,,
144,569614024578600960,positive,1.0,,,Virgin America,HollywoodHotMom,0,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,2015-02-22 21:45:41,All Over!,Pacific Time (US & Canada)
3099,568677317590937600,negative,1.0,Late Flight,0.6808,United,DT_Les,0,"@united Another unfortunate case of bad luck, usually maintenance issue. They are now swapping planes to ONT, will get in Late Flight. :(",2015-02-20 07:43:32,,
13720,569736870927556608,negative,1.0,Lost Luggage,0.6416,American,LeslieWolfson,0,@AmericanAir  you have now lost my luggage for40 hours holding for4 hrs on phone #wtf is this how you treat your loyal passengers?#stranded,2015-02-23 05:53:49,Miami Beach,Central Time (US & Canada)
1792,569582862472577024,negative,1.0,Flight Attendant Complaints,0.6619,United,mbrooke_brooke,0,"@united - so they changed depart from 1:45 to 2:00pm &amp; it is now 1:40pm &amp; the Capt. just got off the plane to find a smoothie, 2pm my ass!!!",2015-02-22 19:41:51,,
3963,567907430069329920,positive,0.6367,,,United,lynn_with_an_A,0,@united :take note of this great example of @JetBlue actually making good for an extremely inconvenient situation. http://t.co/t3Gnk2N7LD,2015-02-18 04:44:17,"Brooklyn, NY",Quito
6591,567766130907832322,negative,1.0,Can't Tell,0.6632,Southwest,clarelanusse,0,@SouthwestAir good thing we noticed because she had re-routed 7 total passengers on an impossible triple connection as well,2015-02-17 19:22:48,,Pacific Time (US & Canada)
1668,569630837538361344,positive,0.6775,,,United,achoifitz,0,"@united finally made it to rep, who solved my problem.",2015-02-22 22:52:29,Europe - America,Central Time (US & Canada)
9992,569587663692554242,negative,1.0,Late Flight,1.0,US Airways,ericabevill,0,@USAirways now after an hour on the plane and knowing of a maint issue ahead of time they just announced another 30 mins. Y r we on plane?,2015-02-22 20:00:56,"Chicago, IL",Central Time (US & Canada)
872,570043820278050817,negative,0.3482,Cancelled Flight,0.3482,United,xRaeCatherine,0,"@united He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?",2015-02-24 02:13:32,,
9095,570229176621510659,negative,1.0,Lost Luggage,0.6629999999999999,US Airways,mcgarr_ok,0,@USAirways they have all of this at hotels. Still don't have my work folder or business casual clothes. #worst http://t.co/JIEYCat1Ek,2015-02-24 14:30:04,,
10622,569117360965193728,negative,1.0,Flight Booking Problems,0.6714,US Airways,shaun_g,0,@USAirways bumping people off a flight ten minutes before takeoff because the flight is overbooked #fail,2015-02-21 12:52:07,Nairobi,Nairobi
5657,568829852721106944,negative,1.0,Bad Flight,0.6342,Southwest,pkneis0414,0,@SouthwestAir very frustrated. Bought early bird at 6:30am on day tickets were released and got mid-B ticket. Spend $50 for nothing,2015-02-20 17:49:39,,
1705,569619545893306369,negative,1.0,Late Flight,1.0,United,directeng62,0,@united seriously?   UA 806.  Delayed because of the copilot isn't here?  For 1.5 hours and he is only flying from Raleigh? Disappointing,2015-02-22 22:07:37,,
10123,569528550589464576,negative,1.0,Flight Attendant Complaints,0.3526,US Airways,ajshaff616,0,"@USAirways flight 623 den to phx: flight attdt decides to stay downtown and be an hour Late Flight so entire flight delayed, she better get fired!",2015-02-22 16:06:02,,
4629,569975026239164416,positive,0.6676,,0.0,Southwest,KatePatay,0,@SouthwestAir Your crew on 3138 is doing a great job of keeping everyone informed during the delays #givethemraises,2015-02-23 21:40:10,"Reno, NV",Alaska
3216,568590189582536704,negative,1.0,Late Flight,1.0,United,abecohenj,0,@united too big to properly manage flight times. There is such a thing as being on time. Or at least prepared with a gate when we land!,2015-02-20 01:57:19,,Eastern Time (US & Canada)
11393,568148808993013761,negative,1.0,Lost Luggage,0.6635,US Airways,tannapistolis,0,@USAirways What's the point of a baggage claim ticket if they don't scan it  for tracking?,2015-02-18 20:43:26,,Eastern Time (US & Canada)
3006,568801885567606784,negative,1.0,Bad Flight,1.0,United,thejoemadison,0,@united no wifi on #ua688 #SF to #Chicago? 2015. That's all. Ps: This tech intro video is a joke. #EpicFail,2015-02-20 15:58:32,"Chicago, IL ",Central Time (US & Canada)
14463,569612035585155073,negative,1.0,Lost Luggage,0.3557,American,macario2,0,@AmericanAir leave our luggage in the baggage claim without any previous information! That's not the deal!! http://t.co/oTTy5rYMzD,2015-02-22 21:37:46,Pocos de Caldas,Brasilia
8229,568586894776406017,negative,1.0,Flight Attendant Complaints,0.6509,Delta,lopezlaymari,2,@JetBlue it is absurd that I have waited more than 45mins because the flight attendant assigned for my flight is Late Flight. You dont have others?,2015-02-20 01:44:14,Miami | Puerto Rico ,
7132,569927288751587328,negative,1.0,Can't Tell,1.0,Delta,TatianaKing,31,STOP. USING.THIS.WORD. IF. YOU'RE. A. COMPANY. RT @JetBlue: Our fleet's on fleek. http://t.co/Fd2TNYcTrB,2015-02-23 18:30:29,"New York, NY",
5709,568787046778720256,positive,0.6659,,,Southwest,LENSconcept,0,@SouthwestAir sure thing,2015-02-20 14:59:34,,Eastern Time (US & Canada)
6817,570233869212856320,positive,1.0,,,Delta,eatgregeat,0,@JetBlue it will be glowing. Your crew and your aircraft sparkled. You guys know about @nokidhungry right? Might be a good partnership:),2015-02-24 14:48:43,,Eastern Time (US & Canada)
215,569236471690829825,neutral,0.634,,0.0,Virgin America,floatingatoll,0,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",2015-02-21 20:45:25,"Silicon Valley, California",Pacific Time (US & Canada)
3258,568565044994158592,negative,1.0,Cancelled Flight,0.3711,United,Czone12,1,@united make sure you make Cancelled Flighted flight baggage and upgrade fees seem like a labyrinth so that you might be able to swindle a few $ more,2015-02-20 00:17:24,lexington KY,
657,570222630525014017,neutral,1.0,,,United,WhatSarahSayzz,0,@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏,2015-02-24 14:04:03,,Pacific Time (US & Canada)
7819,569230193220554753,neutral,1.0,,,Delta,BernardLeCroix,0,@JetBlue I can't call right now. My baby just fell asleep.,2015-02-21 20:20:28,"Providence, RI",Eastern Time (US & Canada)
1742,569608624814698496,negative,1.0,Bad Flight,0.6735,United,no_patients,0,"@united agent, ""You should use the bathroom before boarding.. Toilets onboard are full."" Oh you can expected a strongly worded email FUnited",2015-02-22 21:24:13,,
3694,568184231819481088,negative,1.0,Customer Service Issue,0.684,United,geekydewd,0,"@united can't DM, you're not following. LLY144. Rebooked on #UA1516 but still need seats.",2015-02-18 23:04:11,"CO Springs, Occupied Colorado",Mountain Time (US & Canada)
5697,568800246433775617,positive,1.0,,,Southwest,Sinatra1979,0,@SouthwestAir Thank You. We'll be in touch! #MoveAboutTheCountry,2015-02-20 15:52:01,Ohio (by way of Nebraska),Eastern Time (US & Canada)
8554,568171002208886784,positive,1.0,,,Delta,HAbbott4,0,@JetBlue Done! Also looks like you opened some up on my flight to Vegas on Sunday! 💙,2015-02-18 22:11:37,NY,Eastern Time (US & Canada)
13520,569843331930263552,negative,1.0,Customer Service Issue,0.6708,American,wordnerd153,0,@AmericanAir trying to get thru to agent since last night b/c AA changed our flight to 2 days from now. Infuriating! We need to get to SEA!,2015-02-23 12:56:52,"Bellevue, WA",
7540,569538840735703040,negative,0.6383,Late Flight,0.6383,Delta,davisesq212,0,@JetBlue Thanks for the THIRD gate change http://t.co/UfBdr5AxeO,2015-02-22 16:46:55,New York City,Eastern Time (US & Canada)
2158,569336252597731329,negative,0.6629999999999999,Lost Luggage,0.6629999999999999,United,Colettod,0,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,2015-02-22 03:21:55,"Ottawa, ON",Eastern Time (US & Canada)
5148,569308552671707136,negative,1.0,Lost Luggage,1.0,Southwest,scoobydoo9749,0,"@SouthwestAir 9 hrs in Baltimore, still not going to get my baggage to greenville w me. This is just unbelievable.",2015-02-22 01:31:50,"Tallahassee, FL",America/Chicago
224,569221156504530944,negative,1.0,Can't Tell,0.6526,Virgin America,shounshounette,0,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,2015-02-21 19:44:33,,
865,570045712211288064,negative,0.6644,Flight Booking Problems,0.3437,United,TravelShopVT,0,@united here is the ticket # 0162424965446 please refund my unnecessary upgrade fee,2015-02-24 02:21:03,,Eastern Time (US & Canada)
3002,568803013487276033,neutral,0.7026,,0.0,United,ThePappaShacks,0,@united Will you be issuing an exception policy for Denver for this weekend?,2015-02-20 16:03:00,Denver,
4602,569987277734207488,positive,1.0,,,Southwest,brian_willie,0,"@SouthwestAir it's not fun having a delay from Nashville to Las Vegas, but the crew at the gate C9 desk has been AWESOME! #patience #luvswa",2015-02-23 22:28:51,"Franklin, TN",Eastern Time (US & Canada)
7301,569678931785228288,negative,0.6366,Bad Flight,0.3458,Delta,gregalprin,0,@JetBlue  if only the show was on the flight.  No ABC.  Oh well.  I'll live.  #nexttime #andthewinneris...,2015-02-23 02:03:36,NYC,Eastern Time (US & Canada)
8622,568102992110465025,positive,0.6584,,,Delta,joshto,0,@JetBlue Will do. Thanks!,2015-02-18 17:41:22,San Francisco,Pacific Time (US & Canada)
6244,568100987887427584,neutral,1.0,,,Southwest,babyluv590,0,"@SouthwestAir sure,I'll send a message now!",2015-02-18 17:33:24,murfreesboro,Pacific Time (US & Canada)
5082,569358646892748801,negative,1.0,Customer Service Issue,0.6507,Southwest,abrandt88,0,@southwestair I've been on hold for 2 hours to reschedule my Cancelled Flightled flight for the morning. What gives? I need help NOW,2015-02-22 04:50:54,"Boston, MA",Eastern Time (US & Canada)
9079,570242474750423040,negative,1.0,Customer Service Issue,1.0,US Airways,JenRomanoff,0,@USAirways I keep getting hung up on. PLEASE respond so I can book a ticket with you. I won't be able to buy one unless I speak to someone!,2015-02-24 15:22:55,,Eastern Time (US & Canada)
10695,568969040133165056,negative,1.0,Customer Service Issue,1.0,US Airways,kidchorusteach,0,@USAirways 45 minutes on hold no help,2015-02-21 03:02:44,,Eastern Time (US & Canada)
9433,569939286935674880,negative,1.0,Customer Service Issue,0.3422,US Airways,juliebartz,0,@USAirways well that is not going to help. I'vebeen on hold over 3 hrs &amp; my client wants his ff nbr in the record he's elite wAA,2015-02-23 19:18:09,Shawano WI,Central Time (US & Canada)
11807,567747769176432640,negative,1.0,Cancelled Flight,0.6474,US Airways,cnichols9,0,@USAirways Travelling from pwm to atl on Sunday That flight got Cancelled Flightled and my new flight is Cancelled Flightled and got disconnected when reFlight Booking Problems,2015-02-17 18:09:51,Georgia,
153,569575679722786816,neutral,1.0,,,Virgin America,wildcatdad,0,@VirginAmerica is your website ever coming back online?,2015-02-22 19:13:18,,
4828,569693012885770240,neutral,1.0,,,Southwest,andrewhyde,0,@southwestair Winter Weather for Denver extended for tomorrow by chance? Even to Late Flightr in the day would be super helpful.,2015-02-23 02:59:33,Boulder,Central Time (US & Canada)
13908,569691858365915136,negative,1.0,Late Flight,0.7031,American,friedrice4break,0,@AmericanAir guys 5350 in dfw  stuck at the gate for half an hour.  Do we pull the slide or what?,2015-02-23 02:54:58,,
406,568189531033174016,positive,1.0,,,Virgin America,iamDavidAustin,0,@VirginAmerica great. Well deserved.,2015-02-18 23:25:15,,Pacific Time (US & Canada)
6422,567869273109958656,neutral,0.6578,,0.0,Southwest,suevannasing,0,@SouthwestAir who should I contact about a missing Rapid Rewards credit?,2015-02-18 02:12:39,"Los Angeles, CA",Pacific Time (US & Canada)
11210,568423848732991488,negative,1.0,Customer Service Issue,0.3663,US Airways,Heartliss,0,@USAirways that's it?!?!?,2015-02-19 14:56:20,Here. There. Everywhere. ,Quito
5086,569357168765501440,negative,1.0,Cancelled Flight,1.0,Southwest,vancejason,0,"@SouthwestAir Flight Cancelled Flighted, two hours on hold. Then it just hangs up! A little help here? -thx",2015-02-22 04:45:01,"McLean, VA",Eastern Time (US & Canada)
5015,569541106112827393,neutral,1.0,,,Southwest,NmJean05,0,"@SouthwestAir Also, will Southwest have any other specials like the one they are running now?",2015-02-22 16:55:55,"Newark, NJ",Eastern Time (US & Canada)
12988,569967045544005632,negative,1.0,Customer Service Issue,1.0,American,_rtuck,0,"@AmericanAir I'm trying my hardest to not get frustrated, but I am getting no response on email or by phone. AA owes me $500. How do I claim",2015-02-23 21:08:27,,Pacific Time (US & Canada)
5905,568495231877967872,negative,0.6596,Can't Tell,0.3404,Southwest,NieBee,0,"@SouthwestAir PWM direct to Orlando on Saturdays, why is this only happening in March? I thought it was going to be a permanent thing. :(",2015-02-19 19:40:00,Maine,Eastern Time (US & Canada)
7761,569271364521103361,neutral,1.0,,,Delta,USairNews,0,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Xf9MPnAaJE,2015-02-21 23:04:04,USA,Sydney
4284,567734128011784192,negative,1.0,Cancelled Flight,0.6875,United,SeanHerwaldt,0,.@united we rebooked. But @casleah and I had to split up and take different flights because a pilot ran out of hours? Frustrating.,2015-02-17 17:15:38,Kanasa City,Central Time (US & Canada)
400,568209028188233728,neutral,1.0,,,Virgin America,nschneble,0,.@VirginAmerica If only you guys were starting those flights at the end of the month! Guess I’m still road tripping on Feb 27…,2015-02-19 00:42:43,,Eastern Time (US & Canada)
795,570079237350100993,negative,1.0,Customer Service Issue,1.0,United,throthra,0,"@united again I ask, who can I call to get this fixed? Tweeting me BS questions to stall only makes things worse. Phone number please.",2015-02-24 04:34:16,,
14212,569652564544761856,negative,1.0,Flight Attendant Complaints,0.6762,American,Lioninflorida,0,@AmericanAir absolutely worse cust. Svc ever experienced in 25 yrs of flying.  Supvrs at iah extremely rude. #poorservice #travel,2015-02-23 00:18:49,"Fort Myers, Florida",Eastern Time (US & Canada)
8339,568473361388572672,negative,1.0,Flight Attendant Complaints,1.0,Delta,NY_US,0,@JetBlue i am sharing it to the public. I fly 20 times a year and sitting now on the tarmac in fll. Your staff is the worst i ever met.,2015-02-19 18:13:05,NY NY,
3980,567893924699770880,negative,1.0,Lost Luggage,1.0,United,larissatandy,0,@united so who does handle bag issues? And why wouldn't you put me onto them in the first place?,2015-02-18 03:50:37,"Vancouver, Canada",Melbourne
1224,569877754801360897,negative,1.0,Late Flight,1.0,United,debragordon2012,0,@united. epic fail. @reagan. no jetway. been here 15 mins on tarmac!,2015-02-23 15:13:39,"Williamsburg, VA",Eastern Time (US & Canada)
13702,569741854565998593,negative,1.0,Late Flight,0.6981,American,Jimgotkp,0,@AmericanAir Err 2 hour wait time for the Exec. Plat. line?,2015-02-23 06:13:38,SEA,Indiana (East)
10154,569519007965061121,negative,1.0,Customer Service Issue,1.0,US Airways,MrRenevendez,0,@USAirways you keep suggesting people call 800-428-4322 but we just end up on hold for hours. You seriously don't have a better method?!,2015-02-22 15:28:07,Where you least need me to be,
6203,568134211493695488,positive,0.6646,,,Southwest,DanaChristos,0,@SouthwestAir @karajusto OK we will! Thank you!!!,2015-02-18 19:45:26,CT,Eastern Time (US & Canada)
13884,569696039914971136,positive,1.0,,,American,joymfreeman,0,@AmericanAir Great - thank you.,2015-02-23 03:11:35,"Austin, Texas",Central Time (US & Canada)
3558,568270132956409857,positive,0.6354,,,United,travelwithMKJ,0,@united did I win :),2015-02-19 04:45:32,Sydney Australia ,Sydney
7074,569939932191559680,neutral,0.3505,,0.0,Delta,LonSoCal,0,@JetBlue lol the fleet on fleek... i see yall ballin... new jets on deck..,2015-02-23 19:20:43, Tally,Eastern Time (US & Canada)
13855,569700922248581121,positive,0.6687,,0.0,American,danielaud,0,@AmericanAir Didn't really need anything. Saw your mentions are often negative. Keep up the good work. #gratitude  🇺🇸✈️,2015-02-23 03:30:59,Indianapolis,Eastern Time (US & Canada)
12180,570268326250745856,negative,0.667,Cancelled Flight,0.667,American,hooton,0,@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,2015-02-24 17:05:38,"Little Rock, AR",Central Time (US & Canada)
7351,569650612545187840,neutral,1.0,,,Delta,DaniellaS_Melo,0,@JetBlue hey me and my family have questions on a trip to Disney world that we are doing in April . Please follow me so I could dm you guys,2015-02-23 00:11:04,NYC ❄️ / COL ,Eastern Time (US & Canada)
8508,568202287216234496,negative,1.0,Customer Service Issue,0.3741,Delta,Ginzan77,0,@JetBlue Tried...considerable confusion...no announcement...no sign updates,2015-02-19 00:15:56,Northern Virginia,Eastern Time (US & Canada)
6643,567748208844365825,negative,1.0,Cancelled Flight,1.0,Southwest,JaleenaPosty,0,@SouthwestAir Flight Cancelled Flightled out of BNA.... Do I have to reschedule now or can travel funds be put back into my account for future use?,2015-02-17 18:11:35,,
219,569226875349835776,negative,1.0,Customer Service Issue,0.6766,Virgin America,borknagar,0,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,2015-02-21 20:07:17,chile,Santiago
9449,569932287380467712,negative,1.0,Customer Service Issue,1.0,US Airways,FahadHassan,0,@USAirways now on hold with customer care.  Wonder if someone will pick up the phone before 5pm.,2015-02-23 18:50:20,Washington D.C.,Eastern Time (US & Canada)
6118,568212443433865217,negative,1.0,Customer Service Issue,0.6718,Southwest,cosmicghoul,0,@SouthwestAir it keeps saying that mobile boarding passes are unavailable despite having checked in and everything,2015-02-19 00:56:18,they/them,Pacific Time (US & Canada)
11414,568134534857764864,negative,1.0,Customer Service Issue,1.0,US Airways,Twinscream1,0,@USAirways so I would have to go though the entire process again just to get you people on the phone???????? #usairwayssucks,2015-02-18 19:46:43,,
11914,570298770136674304,negative,1.0,Customer Service Issue,1.0,American,law_econ,0,@AmericanAir This doesn't address my issue. I am on hold for 30 min to speak with an agent.,2015-02-24 19:06:37,"Newport Beach, CA",Central Time (US & Canada)
10224,569483303067131905,negative,1.0,Late Flight,1.0,US Airways,LaChavalina,0,@USAirways You are 0 for 3 so far in on-time flights on this vacation.,2015-02-22 13:06:14,"Pony Paradise, VA",Arizona
12924,569978315072610304,neutral,1.0,,,American,DigitalEdMom,0,@AmericanAir 3127. Just landed in LIT.,2015-02-23 21:53:14,Wisconsin,Central Time (US & Canada)
1976,569497031322030081,negative,1.0,Bad Flight,1.0,United,fctry,0,@united Good luck with the no-enertainment-on-6-hour-flights strategy. Innovation at work. Hello @jetblue http://t.co/HI76BOavXY,2015-02-22 14:00:47,"Williamsburg, Brooklyn",Eastern Time (US & Canada)
11285,568243079003529216,negative,1.0,Lost Luggage,0.6801,US Airways,scheds14,0,"@USAirways been on hold for over an hour, still don't know where my bags are, won't refund me my flight?!?! It wasn't weather!!",2015-02-19 02:58:02,"Phoenix, AZ",
743,570105665093369856,neutral,1.0,,,United,The_Playmaker20,0,@united thanks! Will you guys be getting the A380s anytime soon?,2015-02-24 06:19:17,,
12705,570053952856854528,negative,1.0,Late Flight,0.6514,American,rduffy487,0,@AmericanAir 4369. about 4 flights all using same gate w/buses to the planes.  Awful boarding process. Hour and a half Late Flight,2015-02-24 02:53:48,,
5391,569151206028931072,negative,1.0,Cancelled Flight,1.0,Southwest,loudgirl3611,0,@SouthwestAir so u Cancelled Flight our flight to PHX bc of SDF weather but flights 2 the NE from SDF are still going on?! WTF? http://t.co/NGG3N0wIaR,2015-02-21 15:06:36,,
14440,569616019708182529,negative,1.0,Customer Service Issue,1.0,American,farfalla818,0,"@AmericanAir not only did you rebook me on the wrong day, your phone system says it can't handle the volume and hangs up on me!!!",2015-02-22 21:53:36,"Plano, Texas",
9964,569599532268449792,negative,1.0,Customer Service Issue,0.6656,US Airways,jadedhippie09,0,"@USAirways I promise, if I can help it I will nvr fly w/u again. Even if I have 2 pay more $$$ 2 fly w/ sum1 else #badcustomerservice",2015-02-22 20:48:05,,
1013,569966422744395776,neutral,1.0,,,United,RoatanGallery,0,"@united I am buying 2 yo own seat on 3 legs of intl trip, car seat? Required? If not- then allowed? Can child still sit w/mom after takeoff?",2015-02-23 21:05:59,"Roatan, Islas de la Bahia",Eastern Time (US & Canada)
918,570014689322643456,negative,1.0,Flight Attendant Complaints,0.6551,United,CengageTeamUP,1,@united Agent in LAS letting 20 customers know they can't help them rebook delayed flight to DEN #unfriendlyskies http://t.co/QuzVmK2rTR,2015-02-24 00:17:46,,Eastern Time (US & Canada)
13603,569804373859020801,negative,1.0,Customer Service Issue,1.0,American,flemmingerin,0,"@AmericanAir @loganex except if you call now you'll get the same message. Trust me, I've tried.",2015-02-23 10:22:03,San Diego,
14637,569587242672398336,neutral,1.0,,,American,sanyabun,0,@AmericanAir Please bring American Airlines to #BlackBerry10,2015-02-22 19:59:15,"Nigeria,lagos",
6776,570287303681294337,neutral,0.6522,,,Delta,_carolion,0,"@JetBlue I'm not sure if you can do anything to help me with that, but if you can that'd be great.",2015-02-24 18:21:03,,Quito
924,570010976608780288,negative,1.0,Lost Luggage,0.6667,United,MikeShor,0,@united That's not the issue. The fact that no one even called (despite promises) to confirm the bag's location is.,2015-02-24 00:03:01,"Coventry, Connecticut",Eastern Time (US & Canada)
3923,567966853068251136,negative,1.0,Cancelled Flight,0.6959,United,BeTheBeat,0,@united @PGATOUR @NTrustOpen I read that last hashtag as Go F United. Makes sense since they F us by Cancelled Flightling ticketed reservations,2015-02-18 08:40:24,Toronto,Central Time (US & Canada)
10934,568775800599801856,negative,1.0,Late Flight,0.3486,US Airways,riricesq,0,@USAirways I did not want to hang out on your plane all day when I am traveling to get work done and turn right back around. Unacceptable,2015-02-20 14:14:52,On a beach,Quito
5525,568925579933671424,neutral,1.0,,,Southwest,CeCeTheCeo,0,@SouthwestAir #promotion fly 3 roundtrip #flights to and from #ATL between 2/15 and 5/17 and get a companion pass for the year #travel,2015-02-21 00:10:03,Atlanta,Eastern Time (US & Canada)
9421,569943345000280064,negative,0.652,Late Flight,0.342,US Airways,thomashoward88,0,"@USAirways US 728 stated their issues as: plane not moving as cargo door open on plane. Umm, ok. A little strange.",2015-02-23 19:34:17,,
4445,570250945281589248,negative,1.0,Customer Service Issue,0.6364,Southwest,richstahl,0,@SouthwestAir Adding RR number to a @Marriott stay is too hard. Won't take RR number at checkin/out and Marriott phone CS not helpful.,2015-02-24 15:56:34,"Raleigh, NC",Eastern Time (US & Canada)
13318,569890741666717697,positive,0.6753,,0.0,American,merrymoch513,0,@AmericanAir thank you for NOT Cancelled Flighting all flights and putting my husbands life in danger driving in this weather. #safetyfirst,2015-02-23 16:05:15,,
7668,569366846547369984,negative,1.0,Bad Flight,0.6556,Delta,DestineMedia,0,@JetBlue you have to service your remote controllers on my flight I watched equalizer (movie) THREE times because my remote was stuck,2015-02-22 05:23:29,BB PIN:28AF78F4,Eastern Time (US & Canada)
14089,569668637369491458,neutral,0.6598,,0.0,American,ProConPartners,0,@AmericanAir Both pictures taken at the same time but which is right? #totallyconfused http://t.co/dvSLtQZKmQ,2015-02-23 01:22:41,UK,
10020,569567629083430912,negative,1.0,Customer Service Issue,1.0,US Airways,Asiators,0,@USAirways I've been on hold at the reservations desk for 3 hours. HELP!!!!,2015-02-22 18:41:19,"Dallas, TX",Central Time (US & Canada)
